player,initial_position,add_position
Bill Frampton,FWD,DEF
Sam Berry,FWD,MID
Darcy Cameron,FWD,RUC
Tyler Brown,MID,FWD
Ben Hobbs,MID,FWD
Isaac Smith,MID,FWD
Mark Blicavs,DEF,RUC
Adam Kennedy,MID,DEF
Harry Perryman,DEF,MID
Flynn Perez,DEF,MID
Jason Horne-Francis,MID,FWD
Connor Rozee,FWD,MID
Ivan Soldo,RUC,FWD
Jayden Short,DEF,MID
Isaac Heeney,FWD,MID
Oliver Florent,MID,DEF
Anthony Scott,FWD,MID
Robbie McComb,MID,FWD
Marcus Bontempelli,MID,FWD
Bailey Smith,MID,FWD
Connor West,FWD,MID
Sam Petrevski-Seton,DEF,FWD
Jamaine Jones,FWD,DEF
