player,initial_position,add_position,
Izak Rankine,FWD,MID,
Daniel Curtin,FWD,MID,
Rory Laird,MID,DEF,
James Peatling,MID,FWD,
Sid Draper,MID,FWD,
Jaspa Fletcher,MID,DEF,
Levi Ashcroft,MID,FWD,
Lewis Young,DEF,FWD,
Cooper Lord,MID,FWD,
Jack Silvagni,FWD,DEF,
Brodie Kemp,DEF,FWD,
Oliver Hollands,MID,DEF,
Harry Perryman,DEF,MID,
Josh Daicos,MID,DEF,
Reef McInnes,FWD,DEF,
Dylan Shiel,MID,DEF,
Sam Draper,RUCK,FWD,
Harrison Jones,FWD,MID,
Nic Martin,DEF,FWD,
Archie Perkins,MID,FWD,
Murphy Reid,MID,FWD,
Sam De Koning,DEF,RUCK,
Patrick Dangerfield,MID,FWD,
Mark Blicavs,MID,DEF,
Lachie Weller,DEF,MID,
Connor Budarick,DEF,MID,
Will Graham,MID,FWD,
Stephen Coniglio,MID,FWD,
Conor Stone,FWD,DEF,
Blake Hardwick,DEF,FWD,
Changkuoth Jiath,MID,DEF,
Tom Sparrow,MID,FWD,
Kade Chandler,FWD,MID,
Christian Petracca,MID,FWD,
Harrison Petty,FWD,DEF,
Harry Sharp,MID,FWD,
Jack Henderson,MID,FWD,
Caleb Windsor,MID,DEF,
Will Phillips,MID,FWD,
Colby McKercher,DEF,MID,
Robert Hansen Jr,FWD,MID,
Finn O'Sullivan,MID,DEF,
Harry Sheezel,DEF,MID,
Travis Boak,MID,FWD,
Jase Burgoyne,MID,DEF,
James Trezise,DEF,MID,
Jack Ross,MID,FWD,
Tyler Sonsie,FWD,MID,
Sam Lalor,MID,FWD,
Jacob Blight,DEF,FWD,
Jack Macrae,FWD,MID,
Ryan Byrnes,MID,DEF,
Anthony Caminiti,FWD,DEF,
Angus Hastie,MID,DEF,
Joel Hamling,FWD,DEF,
Oliver Florent,DEF,MID,
Sam Wicks,FWD,DEF,
Chad Warner,MID,FWD,
Braeden Campbell,MID,FWD,
Tom McCartin,DEF,FWD,
Corey Warner,FWD,MID,
Tom Hanily,MID,FWD,
Reuben Ginbey,MID,DEF,
Tyrell Dewar,FWD,MID,
Harley Reid,MID,DEF,
Oskar Baker,MID,DEF,
Harvey Gallagher,MID,DEF,
Joel Freijah,DEF,MID,
James O'Donnell,DEF,FWD,
Sam Davidson,FWD,MID,
